City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
270,narasannapeta,100,IN,1573146875,73,18.42,84.04,71.47,5.99
271,wanning,61,AT,1573146875,87,48.64,13.53,46.0,4.7
272,radcliff,90,US,1573146875,93,37.84,-85.95,46.4,11.41
273,vila velha,20,BR,1573146876,46,-3.71,-38.6,89.6,23.04
274,tiarei,20,PF,1573146876,69,-17.53,-149.33,82.4,26.46
275,srednekolymsk,84,RU,1573146876,94,67.46,153.71,2.48,7.43
276,atakpame,12,TG,1573146876,72,7.53,1.13,78.66,1.9
277,kita,40,JP,1573146876,51,35.76,139.74,63.0,20.8
278,faya,47,SA,1573146877,72,18.39,42.45,66.2,4.7
279,koutiala,0,ML,1573146878,26,12.39,-5.46,90.14,3.29
280,kiama,2,AU,1573146878,32,-34.67,150.86,68.0,9.17
281,maricao,1,PR,1573146878,66,18.18,-66.98,90.0,11.41
282,usinsk,48,RU,1573146879,96,66.0,57.56,2.23,6.24
283,krasnokholm,84,RU,1573146879,77,51.6,54.16,46.89,16.73
284,manokwari,59,ID,1573146879,80,-0.87,134.08,72.75,4.43
285,vilyuysk,42,RU,1573146879,95,63.75,121.63,-11.89,5.17
286,bubaque,59,GW,1573146879,70,11.28,-15.83,83.91,9.28
287,jardim de piranhas,28,BR,1573146879,15,-6.38,-37.35,103.21,14.29
288,tiksi,99,RU,1573146880,97,71.64,128.87,-6.99,4.79
289,corn island,100,NI,1573146880,81,12.17,-83.04,82.67,18.3
290,tarata,20,PE,1573146880,68,-17.47,-70.03,66.2,5.82
291,bahia honda,18,CU,1573146880,78,22.9,-83.16,82.42,11.54
292,antalaha,15,MG,1573146872,84,-14.9,50.28,77.92,18.25
293,marsh harbour,17,BS,1573146881,78,26.54,-77.06,79.77,12.53
294,ambon,100,FR,1573146881,76,47.55,-2.56,51.01,4.7
295,fortuna,1,US,1573146881,87,40.6,-124.16,50.0,3.36
296,pirovskoye,100,RU,1573146881,94,57.63,92.27,30.42,14.65
297,trat,100,TH,1573146881,74,12.25,102.51,81.75,4.56
298,kununurra,10,AU,1573146881,78,-15.77,128.74,77.0,3.36
299,vao,99,EE,1573146882,92,59.1,26.19,31.19,6.4
300,coquimbo,0,CL,1573146882,88,-29.95,-71.34,57.9,6.29
301,evensk,100,RU,1573146882,88,61.92,159.24,26.1,8.77
302,saint-augustin,90,CA,1573146882,86,45.63,-73.98,34.0,3.36
303,road town,20,VG,1573146839,66,18.42,-64.62,87.8,9.17
304,dingle,4,PH,1573146883,91,11.0,122.67,73.15,5.61
305,kulhudhuffushi,55,MV,1573146883,76,6.62,73.07,82.69,7.49
306,golyshmanovo,100,RU,1573146883,94,56.4,68.37,38.3,15.59
307,inirida,38,CO,1573146883,71,3.87,-67.92,87.46,2.71
308,clyde river,75,CA,1573146862,92,70.47,-68.59,15.8,12.75
309,aasiaat,0,GL,1573146883,69,68.71,-52.87,14.49,9.13
310,katsuura,75,JP,1573146884,71,33.93,134.5,57.2,6.93
311,teacapan,51,MX,1573146884,49,22.54,-105.74,93.13,2.24
312,vestmannaeyjar,75,IS,1573146884,80,63.44,-20.27,39.2,8.05
313,bharatpur,77,IN,1573146884,51,27.22,77.5,75.0,3.62
314,kalmunai,71,LK,1573146884,76,7.42,81.82,82.17,7.7
315,husavik,35,CA,1573146884,80,50.56,-96.99,15.01,8.01
316,tommot,56,RU,1573146885,96,58.97,126.27,-14.86,1.72
317,ribeira grande,75,PT,1573146885,68,38.52,-28.7,68.0,5.82
318,klaksvik,90,FO,1573146885,69,62.23,-6.59,33.8,3.36
319,dyatkovo,100,RU,1573146885,91,53.6,34.34,43.14,3.44
320,two hills,91,CA,1573146885,59,53.71,-111.75,20.59,13.04
321,lhokseumawe,91,ID,1573146885,88,5.18,97.15,72.0,1.83
322,lalsot,75,IN,1573146886,64,26.56,76.33,71.6,5.82
323,nchelenge,34,ZM,1573146886,61,-9.35,28.74,77.36,3.96
324,kurkent,0,RU,1573146887,29,41.71,48.11,47.55,6.78
325,petropavlovsk-kamchatskiy,86,RU,1573146887,92,53.05,158.65,26.6,6.71
326,tevaitoa,37,PF,1573146888,78,-16.78,-151.5,80.26,19.26
327,cidreira,100,BR,1573146888,89,-30.17,-50.22,68.07,14.43
328,najran,4,SA,1573146888,28,17.54,44.22,73.4,4.7
329,kyaikkami,20,MM,1573146888,76,16.08,97.57,82.56,10.42
330,zhigansk,62,RU,1573146889,95,66.77,123.37,-19.56,6.96
331,karratha,22,AU,1573146889,60,-20.74,116.85,79.23,11.07
332,skjervoy,15,NO,1573146889,78,70.03,20.97,28.4,19.46
333,maragogi,99,BR,1573146889,71,-9.01,-35.22,79.57,11.65
334,honiara,40,SB,1573146889,100,-9.43,159.96,75.2,2.24
335,zhangzhou,29,CN,1573146889,64,24.51,117.65,69.8,11.18
336,brae,20,GB,1573146890,86,60.4,-1.35,37.4,18.34
337,gawler,75,AU,1573146890,87,-34.6,138.75,59.0,24.16
338,vanavara,100,RU,1573146890,95,60.35,102.28,21.09,7.11
339,hasaki,40,JP,1573146890,93,35.73,140.83,50.0,6.93
340,aklavik,75,CA,1573146890,78,68.22,-135.01,14.0,5.82
341,ancud,47,CL,1573146891,62,-41.87,-73.83,51.49,13.56
342,lata,100,IN,1573146891,99,30.78,78.62,26.01,10.31
343,chernyshevskiy,26,RU,1573146891,98,63.01,112.47,-8.14,2.39
344,northam,78,AU,1573146891,37,-31.65,116.67,69.8,14.99
345,saldanha,87,PT,1573146891,81,41.42,-6.55,41.43,10.33
346,begoro,6,GH,1573146891,78,6.38,-0.38,77.74,2.46
347,merauke,100,ID,1573146892,82,-8.49,140.4,76.55,6.62
348,sao felix do xingu,44,BR,1573146892,34,-6.64,-51.99,96.8,4.43
349,xining,27,CN,1573146626,78,36.62,101.77,32.86,1.43
350,pedernales,86,EC,1573146892,75,0.07,-80.05,78.06,8.48
351,esperance,90,AU,1573146892,93,-33.86,121.89,53.6,4.7
352,sadovoye,97,RU,1573146893,51,47.78,44.52,57.6,9.22
353,agaro,100,ET,1573146893,94,7.86,36.59,58.05,3.91
354,kavaratti,0,IN,1573146893,78,10.57,72.64,81.14,10.49
355,espirito santo do pinhal,75,BR,1573146893,65,-22.12,-46.68,84.2,2.55
356,pomabamba,99,PE,1573146894,60,-8.82,-77.46,53.71,8.32
357,okhotsk,100,RU,1573146894,94,59.36,143.24,25.52,20.56
358,itaituba,20,BR,1573146894,50,-4.26,-55.99,95.0,3.36
359,kathmandu,75,NP,1573146622,88,27.71,85.32,62.6,2.24
360,yar-sale,89,RU,1573146892,92,66.83,70.83,1.54,15.46
361,black river,20,JM,1573146894,70,18.03,-77.85,87.8,16.11
362,superior,90,US,1573146895,51,39.95,-105.17,42.01,2.28
363,tateyama,100,JP,1573146895,71,36.66,137.31,53.01,1.99
364,paamiut,100,GL,1573146856,46,61.99,-49.67,41.83,15.84
365,puerto carreno,40,CO,1573146895,66,6.19,-67.49,87.8,6.93
366,lano,64,NG,1573146895,25,10.17,11.47,84.6,3.04
367,touros,75,BR,1573146895,55,-5.2,-35.46,86.0,16.11
368,okha,60,RU,1573146881,65,53.59,142.95,23.16,15.12
369,norman wells,75,CA,1573146896,91,65.28,-126.83,3.2,4.7
370,tessalit,0,ML,1573146896,14,20.2,1.01,86.0,9.04
371,freeport,40,BS,1573146890,78,26.54,-78.7,82.4,13.87
372,zambezi,99,ZM,1573146896,79,-13.55,23.12,69.58,6.67
373,roald,20,NO,1573146897,80,62.58,6.12,32.0,5.82
374,mae hong son,3,MM,1573146897,98,19.3,97.96,64.74,2.35
375,redmond,90,US,1573146817,93,47.67,-122.12,48.99,3.36
376,skagen,90,SE,1573146897,95,58.6,13.44,33.01,3.36
377,wangqing,0,CN,1573146897,43,43.31,129.76,19.9,7.43
378,bemidji,75,US,1573146898,61,47.48,-94.89,18.0,12.75
379,alenquer,19,BR,1573146898,55,-1.95,-54.74,89.6,10.29
380,barcelos,72,BR,1573146898,42,-0.97,-62.93,95.13,4.52
381,saint-joseph,75,FR,1573146898,87,43.56,6.97,57.2,2.24
382,mirandopolis,91,BR,1573146898,38,-21.13,-51.1,93.99,2.48
383,kasane,14,BW,1573146898,25,-17.8,25.16,86.0,3.36
384,okhansk,75,RU,1573146899,93,57.72,55.39,46.4,13.42
385,leopoldina,80,BR,1573146899,52,-21.53,-42.64,84.0,1.99
386,kaseda,46,JP,1573146899,75,31.42,130.32,54.82,4.05
387,yatou,75,CM,1573146899,94,3.63,9.81,77.0,6.93
388,alamogordo,75,US,1573146900,93,32.9,-105.96,60.01,8.05
389,fukuma,83,JP,1573146900,87,33.77,130.47,57.2,1.12
390,chuzhou,0,CN,1573146901,82,32.25,118.33,55.99,4.74
391,forestville,90,CA,1573146901,68,48.74,-69.09,28.4,8.05
392,moosomin,0,CA,1573146901,78,50.14,-101.67,14.07,3.69
393,umm lajj,10,SA,1573146901,65,25.02,37.27,77.61,1.5
394,atambua,53,ID,1573146902,84,-9.11,124.89,74.62,3.06
395,grants,90,US,1573146902,93,35.15,-107.85,44.6,6.93
396,sao filipe,28,CV,1573146902,81,14.9,-24.5,74.19,20.24
397,ngunguru,61,NZ,1573146902,93,-35.62,174.5,63.0,4.0
398,swift current,1,CA,1573146903,78,50.29,-107.8,10.4,8.05
399,chicama,20,PE,1573146903,72,-7.84,-79.15,66.2,11.41
400,eldorado,91,BR,1573146903,59,-24.52,-48.11,81.93,5.75
401,lumphat,41,KH,1573146903,97,13.5,106.97,68.52,4.32
402,rocha,0,UY,1573146686,52,-34.48,-54.34,79.3,7.81
403,naron,40,ES,1573146903,81,43.52,-8.15,51.01,11.41
404,north augusta,20,CA,1573146904,92,44.76,-75.74,35.01,5.82
405,chara,40,GR,1573146904,72,39.42,22.43,66.2,6.93
406,alindao,84,CF,1573146904,91,5.04,21.21,72.32,2.75
407,gairo,81,TZ,1573146904,87,-6.14,36.87,68.54,4.09
408,shingu,19,JP,1573146904,72,33.72,135.99,60.46,6.15
409,bukoba,0,TZ,1573146905,68,-1.33,31.81,75.16,9.01
410,san rafael,0,AR,1573146905,20,-34.61,-68.33,75.76,10.87
411,balaipungut,97,ID,1573146905,98,1.11,101.31,74.48,3.06
412,cicero dantas,3,BR,1573146906,27,-10.6,-38.38,93.15,15.1
413,maputo,40,MZ,1573146614,62,-25.97,32.57,84.2,17.22
414,alanya,0,TR,1573146862,87,36.55,32.0,59.0,4.7
415,puebla,5,MX,1573146907,49,19.04,-98.2,68.0,9.17
416,kruisfontein,0,ZA,1573146872,72,-34.0,24.73,57.7,23.02
417,ballina,75,IE,1573146907,87,54.11,-9.15,46.0,9.17
418,karatu,49,TZ,1573146907,59,-3.34,35.67,72.48,13.15
419,xinzhi,75,TW,1573146908,78,22.54,120.62,73.4,5.82
420,rio gallegos,40,AR,1573146908,43,-51.62,-69.22,50.0,31.09
421,puerto ayacucho,40,CO,1573146908,66,5.66,-67.63,87.8,6.93
422,kholmogory,90,RU,1573146908,92,64.23,41.65,23.0,2.24
423,port-cartier,40,CA,1573146909,46,50.03,-66.88,30.0,14.99
424,kontagora,75,NG,1573146909,36,10.4,5.47,82.76,4.36
425,ratnagiri,0,IN,1573146909,92,16.98,73.3,70.18,2.51
426,baykit,100,RU,1573146909,97,61.68,96.39,21.88,3.2
427,shablykino,100,RU,1573146909,86,52.85,35.2,44.02,4.61
428,sechura,68,PE,1573146910,94,-5.56,-80.82,62.15,15.66
429,toamasina,75,MG,1573146910,78,-18.17,49.38,75.2,2.24
430,panique,40,PH,1573146910,82,12.48,122.02,80.08,17.52
431,carbonia,75,IT,1573146911,68,39.17,8.53,64.4,2.24
432,ostersund,75,SE,1573146911,79,63.18,14.64,28.0,10.29
433,maniitsoq,100,GL,1573146911,45,65.42,-52.9,34.29,9.53
434,umm kaddadah,0,SD,1573146911,12,13.6,26.69,85.24,7.76
435,katobu,100,ID,1573146911,87,-4.94,122.53,74.7,3.04
436,konispol,75,GR,1573146911,77,39.66,20.18,66.2,9.17
437,tuatapere,52,NZ,1573146912,86,-46.13,167.69,53.01,3.0
438,ziebice,0,PL,1573146912,80,50.6,17.04,46.0,1.12
439,acapulco,5,MX,1573146912,59,16.86,-99.88,89.6,5.23
440,jardim,100,BR,1573146912,31,-21.48,-56.15,97.07,7.0
441,filadelfia,100,PY,1573146912,38,-22.35,-60.04,94.59,5.61
442,yulara,0,AU,1573146913,16,-25.24,130.99,75.2,8.05
443,zeerust,40,ZA,1573146913,15,-25.54,26.07,89.6,10.29
444,padang,98,ID,1573146913,93,-0.92,100.36,66.81,1.34
445,laguna,75,BZ,1573146913,78,16.17,-88.94,82.4,6.93
446,longhua,74,CN,1573146913,75,29.21,106.21,62.17,2.1
447,egvekinot,48,RU,1573146910,94,66.32,-179.17,12.85,13.98
448,avera,90,US,1573146914,60,33.19,-82.53,73.4,5.82
449,half moon bay,90,US,1573146914,93,37.46,-122.43,66.99,3.36
450,vire,4,FR,1573146914,75,48.84,-0.89,46.4,6.93
451,darhan,0,MN,1573146915,69,49.49,105.92,30.4,1.86
452,salamanca,40,MX,1573146915,56,20.57,-101.19,71.6,4.7
453,shaunavon,52,CA,1573146915,60,49.65,-108.41,23.29,8.5
454,north platte,90,US,1573146915,74,41.12,-100.77,30.99,11.41
455,mokshan,100,RU,1573146916,65,53.44,44.61,50.0,4.74
456,chengam,62,IN,1573146916,92,12.3,78.79,71.31,2.53
457,puerto el triunfo,48,SV,1573146916,52,13.27,-88.55,91.4,4.7
458,poum,90,MK,1573146916,87,41.28,20.71,53.6,2.24
459,talkha,0,EG,1573146916,73,31.05,31.37,70.09,6.93
460,saskylakh,0,RU,1573146917,99,71.97,114.09,-24.9,4.38
461,yanam,100,IN,1573146917,83,16.73,82.22,82.4,4.7
462,gornopravdinsk,100,RU,1573146917,86,60.06,69.92,24.6,7.47
463,olinda,75,AU,1573146917,71,-37.84,145.39,55.0,9.17
464,hami,93,CN,1573146918,33,42.84,93.51,47.16,3.11
465,azul,0,AR,1573146918,27,-36.78,-59.86,73.0,3.0
466,mao,75,DO,1573146918,62,19.55,-71.08,89.01,8.05
467,pacific grove,90,US,1573146918,81,36.62,-121.92,64.0,5.82
468,vasteras,87,SE,1573146918,86,59.62,16.55,36.0,5.82
469,bandundu,7,CD,1573146918,74,-3.32,17.38,77.79,3.33
470,sioux lookout,90,CA,1573146917,72,50.1,-91.92,12.2,2.24
471,jinxiang,19,CN,1573146919,59,35.07,116.31,48.78,4.72
472,astana,55,KZ,1573146919,73,51.13,71.43,32.0,20.13
473,mastic,75,US,1573146919,58,40.8,-72.84,59.0,16.11
474,quelimane,20,MZ,1573146919,74,-17.88,36.89,82.4,12.75
475,bredasdorp,24,ZA,1573146919,55,-34.53,20.04,60.8,13.87
476,sept-iles,40,CA,1573146920,46,50.2,-66.38,30.0,14.99
477,yilan,0,CN,1573146820,38,43.11,129.52,24.78,4.99
478,coffs harbour,0,AU,1573146679,72,-30.3,153.13,59.0,5.82
479,kedrovyy,40,RU,1573146920,51,56.17,91.82,37.4,13.42
480,masalli,43,KR,1573146921,87,34.8,126.66,44.6,6.93
481,pacifica,90,US,1573146881,87,37.61,-122.49,66.99,3.36
482,micheweni,0,TZ,1573146921,74,-4.97,39.83,81.54,10.27
483,paka,45,CF,1573146921,79,4.15,15.03,73.31,2.17
484,dalvik,75,SE,1573146921,94,57.79,14.13,37.99,4.7
485,les cayes,0,HT,1573146859,72,18.19,-73.75,82.81,6.42
486,fort nelson,75,CA,1573146922,85,58.81,-122.69,17.6,2.24
487,biak,27,ID,1573146922,65,-0.91,122.88,82.4,2.73
488,ostrovnoy,83,RU,1573146912,91,68.05,39.51,14.59,6.38
489,la ligua,0,CL,1573146922,25,-32.45,-71.23,83.19,10.04
490,rockport,90,US,1573146922,78,28.02,-97.05,84.0,8.05
491,scarborough,100,GB,1573146923,93,54.28,-0.41,48.99,18.34
492,koslan,0,RU,1573146923,95,63.46,48.9,12.31,4.45
493,opochka,99,RU,1573146923,87,56.71,28.66,41.94,3.4
494,tsiroanomandidy,90,MG,1573146923,42,-18.77,46.05,81.45,5.21
495,monrovia,75,LR,1573146923,74,6.33,-10.8,87.8,7.16
496,esmeralda,0,CL,1573146924,18,-34.33,-70.9,86.49,8.88
497,crotone,40,IT,1573146924,87,39.09,17.12,59.0,9.17
498,tyrma,65,RU,1573146924,75,50.04,132.17,9.34,4.83
499,udachnyy,0,RU,1573146924,83,66.42,112.4,-11.21,2.24
500,opelousas,90,US,1573146924,94,30.53,-92.08,73.4,4.85
501,banda aceh,78,ID,1573146924,89,5.56,95.32,73.4,3.47
502,hornbaek,90,DK,1573146925,86,56.09,12.45,45.0,8.05
503,roma,0,IT,1573146890,76,41.89,12.48,62.6,2.24
504,chemax,75,MX,1573146925,78,20.66,-87.94,82.4,9.17
505,susehri,0,TR,1573146925,46,40.16,38.09,43.84,3.8
506,kenai,90,US,1573146926,93,60.55,-151.26,41.0,8.05
507,sao jose da coroa grande,99,BR,1573146926,71,-8.9,-35.15,79.57,11.65
508,morlaix,92,FR,1573146757,87,48.58,-3.83,46.4,8.05
509,isangel,44,VU,1573146919,87,-19.55,169.27,70.88,9.31
510,talcahuano,73,CL,1573146926,72,-36.72,-73.12,59.63,16.44
511,faanui,74,PF,1573146874,79,-16.48,-151.75,80.62,21.03
512,ilhabela,100,BR,1573146927,82,-23.78,-45.36,73.62,17.05
513,camacha,75,PT,1573146927,93,33.08,-16.33,71.6,18.34
514,taltal,7,CL,1573146927,60,-25.41,-70.49,63.23,7.56
515,ushumun,67,RU,1573146927,83,52.78,126.54,4.62,7.38
516,saint-raymond,90,CA,1573146927,86,46.89,-71.84,34.0,5.82
517,nalut,0,LY,1573146928,44,31.86,10.98,64.35,4.7
518,macusani,70,PE,1573146928,68,-14.07,-70.43,45.12,11.48
519,broome,40,GB,1573146928,93,52.47,1.45,46.4,5.82
520,dwarka,75,IN,1573146928,77,28.58,77.04,75.99,5.82
521,san martin,90,US,1573146928,93,37.08,-121.61,66.99,1.63
522,kachiry,100,KZ,1573146928,71,53.07,76.1,32.63,14.79
523,amapa,75,HN,1573146929,74,15.09,-87.97,84.2,6.93
524,werda,35,BW,1573146929,16,-25.27,23.28,84.54,16.71
525,vytegra,51,RU,1573146929,92,61.01,36.45,16.59,6.08
526,pingdu,0,CN,1573146929,65,36.79,119.95,41.0,8.95
527,rio grande,40,BR,1573146930,58,-32.03,-52.1,82.4,8.05
528,thinadhoo,77,MV,1573146930,75,0.53,72.93,82.63,11.88
529,abonnema,98,NG,1573146930,81,4.71,6.79,80.44,6.76
530,sorrento,23,AU,1573146930,40,-31.82,115.75,69.8,13.87
531,lagos,40,NG,1573146730,74,6.46,3.39,86.0,11.41
532,flin flon,75,CA,1573146931,66,54.77,-101.88,14.0,6.93
533,liverpool,75,GB,1573146931,100,53.41,-2.98,45.0,4.7
534,rizhao,0,CN,1573146932,68,35.43,119.46,38.14,5.93
535,pangody,97,RU,1573146933,96,65.85,74.49,4.28,8.37
536,lodja,99,CD,1573146933,91,-3.52,23.6,73.42,2.57
537,timbiqui,65,CO,1573146933,75,2.77,-77.67,83.59,7.47
538,bud,40,NO,1573146934,60,62.91,6.91,32.0,8.05
539,champerico,40,MX,1573146892,61,16.38,-93.6,82.4,4.7
540,pontianak,71,ID,1573146921,92,-0.02,109.34,74.61,1.54
